ies,nombre,vacantes_totales,matricula_anual,arancel_anual,acreditacion_ies,costo_titulacion,costo_certificado,sem_totales
UNIVERSIDAD FINIS TERRAE,"BACHILLERATO EN ARTES, ARQUITECTURA Y DISEÑO",20,500000,7200000,5,328000,36000,4
UNIVERSIDAD DEL DESARROLLO,BACHILLERATO EN DISEÑO,45,1016114,10364360,6,0,0,2
"UNIVERSIDAD DE ARTES, CIENCIAS Y COMUNICACION - UNIACC",COMUNICACION DIGITAL ESPECIALIDAD DISEÑO Y DESARROLLO DE VIDEOJUEGOS,50,250000,4580000,3,400000,0,9
,DISEÑO,1284,391016,6157028,,,,
UNIVERSIDAD DE CHILE,DISEÑO,115,217600,6486700,7,0,139000,10
UNIVERSIDAD DE LA SERENA,DISEÑO,40,226580,4071000,5,0,249200,10
UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACION,DISEÑO,25,185000,4305000,5,218000,166000,9
UNIVERSIDAD DE TALCA,DISEÑO,45,272000,5887000,6,0,258700,10
UNIVERSIDAD DE VALPARAISO,DISEÑO,75,226000,5713000,6,0,184000,10
UNIVERSIDAD DE LAS AMERICAS,DISEÑO,51,240000,4730000,5,198218,0,9
UNIVERSIDAD DE VIÑA DEL MAR,DISEÑO,30,355000,4277000,4,0,88100,9
UNIVERSIDAD DEL DESARROLLO,DISEÑO,240,1016114,9754692,6,0,40645,10
UNIVERSIDAD DEL DESARROLLO,DISEÑO,70,690957,6056038,6,0,40645,10
UNIVERSIDAD FINIS TERRAE,DISEÑO,80,692000,7320000,5,335289,36000,9
PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,DISEÑO,178,195000,8080000,7,0,0,10
PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,DISEÑO,65,280000,6915000,7,0,134700,10
UNIVERSIDAD AUSTRAL DE CHILE,DISEÑO,45,270000,5887000,6,254000,31000,9
UNIVERSIDAD CATOLICA DE TEMUCO,DISEÑO,60,238000,5276000,5,138753,0,10
UNIVERSIDAD DIEGO PORTALES,DISEÑO,165,761000,7597000,6,0,318000,10
