tipo_ies,ies,vacantes_totales,arancel_anual,,redis,nombre,matricula_anual,acreditacion_ies,costo_titulacion,costo_certificado,sem_totales,vacantes_sem_uno,vacantes_sem_dos
Universidades Privadas CRUCH,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,178,8080000,,1,DISEÑO,195000,7,0,0,10,80,98
Universidades Privadas CRUCH,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,65,6915000,,1,DISEÑO,280000,7,0,134700,10,65,0
Universidades Privadas,UNIVERSIDAD ADOLFO IBAÑEZ,0,9754692,,0,INGENIERIA EN DISEÑO,934825,6,0,81289,7,0,0
Universidades Privadas,UNIVERSIDAD ANDRES BELLO,80,7136000,,0,DISEÑO DE JUEGOS DIGITALES,641000,6,0,0,8,80,0
Universidades Privadas,UNIVERSIDAD ANDRES BELLO,80,7065000,,0,DISEÑO GRAFICO,627000,6,0,0,8,80,0
Universidades Privadas,UNIVERSIDAD ANDRES BELLO,90,5069000,,0,DISEÑO DE JUEGOS DIGITALES,506000,6,0,0,8,90,0
Universidades Privadas,UNIVERSIDAD ANDRES BELLO,100,7148000,,0,DISEÑO DE VESTUARIO Y TEXTIL,641000,6,0,0,8,100,0
Universidades Privadas CRUCH,UNIVERSIDAD AUSTRAL DE CHILE,45,5887000,,1,DISEÑO,270000,6,254000,31000,9,45,0
Universidades Privadas,UNIVERSIDAD BERNARDO O'HIGGINS,55,5900000,,0,INGENIERIA EN REALIDAD VIRTUAL Y DISEÑO DE JUEGOS DIGITALES,320000,5,417252,34771,9,55,0
Universidades Privadas CRUCH,UNIVERSIDAD CATOLICA DE TEMUCO,60,5276000,,1,DISEÑO,238000,5,138753,0,10,60,0
Universidades Estatales CRUCH,UNIVERSIDAD DE ANTOFAGASTA,35,5120000,,1,DISEÑO GRAFICO MENCION DISEÑO ESTRATEGICO,225000,5,310000,180000,10,35,0
Universidades Privadas,"UNIVERSIDAD DE ARTES, CIENCIAS Y COMUNICACION - UNIACC",50,4580000,,0,COMUNICACION DIGITAL ESPECIALIDAD DISEÑO Y DESARROLLO DE VIDEOJUEGOS,250000,3,400000,0,9,50,0
Universidades Privadas,"UNIVERSIDAD DE ARTES, CIENCIAS Y COMUNICACION - UNIACC",50,4210000,,0,DISEÑO DE IMAGEN ESPECIALIDAD MODA,250000,3,400000,0,9,50,0
Universidades Privadas,"UNIVERSIDAD DE ARTES, CIENCIAS Y COMUNICACION - UNIACC",50,4210000,,0,DISEÑO GRAFICO ESPECIALIDAD MULTIMEDIA,250000,3,400000,0,9,50,0
Universidades Privadas,"UNIVERSIDAD DE ARTES, CIENCIAS Y COMUNICACION - UNIACC",60,4030000,,0,DISEÑO DE INTERIORES Y AMBIENTES,250000,3,400000,0,9,60,0
Universidades Estatales CRUCH,UNIVERSIDAD DE CHILE,25,5492400,,0,DISEÑO TEATRAL,217600,7,0,139000,10,25,0
Universidades Estatales CRUCH,UNIVERSIDAD DE CHILE,115,6486700,,1,DISEÑO,217600,7,0,139000,10,65,50
Universidades Estatales CRUCH,UNIVERSIDAD DE LA SERENA,40,4071000,,1,DISEÑO,226580,5,0,249200,10,40,0
Universidades Privadas,UNIVERSIDAD DE LAS AMERICAS,51,4730000,,0,DISEÑO,240000,5,198218,0,9,51,0
Universidades Estatales CRUCH,UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACION,25,4305000,,1,DISEÑO,185000,5,218000,166000,9,25,0
Universidades Estatales CRUCH,UNIVERSIDAD DE SANTIAGO DE CHILE,40,6552000,,1,DISEÑO EN COMUNICACION VISUAL,212000,7,208000,208000,9,40,0
Universidades Estatales CRUCH,UNIVERSIDAD DE SANTIAGO DE CHILE,50,4989000,,1,DISEÑO INDUSTRIAL,212000,7,208000,208000,9,50,0
Universidades Estatales CRUCH,UNIVERSIDAD DE TALCA,45,5887000,,1,DISEÑO,272000,6,0,258700,10,45,0
Universidades Estatales CRUCH,UNIVERSIDAD DE TARAPACA,58,6555000,,1,DISEÑO MULTIMEDIA,0,6,0,205000,8,58,0
Universidades Estatales CRUCH,UNIVERSIDAD DE VALPARAISO,75,5713000,,1,DISEÑO,226000,6,0,184000,10,75,0
Universidades Privadas,UNIVERSIDAD DE VIÑA DEL MAR,30,4277000,,0,DISEÑO,355000,4,0,88100,9,30,0
Universidades Estatales CRUCH,UNIVERSIDAD DEL BIO-BIO,45,4307000,,1,DISEÑO GRAFICO,138000,5,55000,25000,9,45,0
Universidades Estatales CRUCH,UNIVERSIDAD DEL BIO-BIO,55,4434000,,1,DISEÑO INDUSTRIAL,138000,5,55000,25000,9,55,0
Universidades Privadas,UNIVERSIDAD DEL DESARROLLO,45,10364360,,0,BACHILLERATO EN DISEÑO,1016114,6,0,0,2,45,0
Universidades Privadas,UNIVERSIDAD DEL DESARROLLO,70,6056038,,0,DISEÑO,690957,6,0,40645,10,70,0
Universidades Privadas,UNIVERSIDAD DEL DESARROLLO,240,9754692,,0,DISEÑO,1016114,6,0,40645,10,240,0
Universidades Privadas CRUCH,UNIVERSIDAD DIEGO PORTALES,165,7597000,,1,DISEÑO,761000,6,0,318000,10,165,0
Universidades Privadas,UNIVERSIDAD FINIS TERRAE,20,7200000,,0,"BACHILLERATO EN ARTES, ARQUITECTURA Y DISEÑO",500000,5,328000,36000,4,20,0
Universidades Privadas,UNIVERSIDAD FINIS TERRAE,35,7320000,,0,DISEÑO DE MODA Y MANAGEMENT,692000,5,335289,36000,9,35,0
Universidades Privadas,UNIVERSIDAD FINIS TERRAE,80,7320000,,0,DISEÑO,692000,5,335289,36000,9,80,0
Universidades Privadas,UNIVERSIDAD GABRIELA MISTRAL,20,4814000,,0,DISEÑO EN INTERACCION DIGITAL,383000,4,454000,0,9,20,0
Universidades Privadas,UNIVERSIDAD GABRIELA MISTRAL,20,4814000,,0,DISEÑO EN MARKETING DIGITAL,383000,4,454000,0,9,20,0
Universidades Privadas,UNIVERSIDAD GABRIELA MISTRAL,30,4814000,,0,DISEÑO DE VIDEOJUEGOS,383000,4,454000,0,9,30,0
Universidades Privadas,UNIVERSIDAD GABRIELA MISTRAL,45,4814000,,0,DISEÑO DE EXPERIENCIAS INMERSIVAS Y VIDEOJUEGOS,227000,4,481000,0,5,30,15
Universidades Privadas,UNIVERSIDAD GABRIELA MISTRAL,60,4814000,,0,DISEÑO EN ANIMACION DIGITAL,383000,4,454000,0,9,60,0
Universidades Privadas,UNIVERSIDAD MAYOR,70,7214218,,0,DISEÑO MENCION INDUSTRIAL/GRAFICO/AMBIENTES,673500,5,0,250000,10,70,0
Universidades Privadas CRUCH,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,20,6000000,,0,INGENIERIA EN DISEÑO DE PRODUCTOS,275000,6,125000,4000,10,20,0
Universidades Privadas CRUCH,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,20,5180000,,0,INGENIERIA EN FABRICACION Y DISEÑO INDUSTRIAL,275000,6,125000,4000,8,20,0
Universidades Privadas CRUCH,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,25,6000000,,0,INGENIERIA EN DISEÑO DE PRODUCTOS,275000,6,125000,4000,10,25,0
Universidades Estatales CRUCH,UNIVERSIDAD TECNOLOGICA METROPOLITANA,40,4891000,,1,DISEÑO INDUSTRIAL,90000,4,47500,168000,10,40,0
Universidades Estatales CRUCH,UNIVERSIDAD TECNOLOGICA METROPOLITANA,60,4763300,,1,DISEÑO EN COMUNICACION VISUAL,90000,4,47500,168000,10,60,0
